metric,baseline,distribute,patched-repl
build_commit,773340973.0,773340973.0,773340973.0
build_number,7217.0,7217.0,7217.0
model_size,8533004544.0,8533004544.0,8533004544.0
model_n_params,8030326848.0,8030326848.0,8030326848.0
n_batch,2048.0,2048.0,2048.0
n_ubatch,512.0,512.0,512.0
n_threads,128.0,128.0,128.0
cpu_strict,0.0,0.0,0.0
poll,50.0,50.0,50.0
n_gpu_layers,99.0,99.0,99.0
n_cpu_moe,0.0,0.0,0.0
main_gpu,0.0,0.0,0.0
no_kv_offload,0.0,0.0,0.0
flash_attn,0.0,0.0,0.0
tensor_split,0.0,0.0,0.0
use_mmap,1.0,1.0,1.0
embeddings,0.0,0.0,0.0
no_op_offload,0.0,0.0,0.0
no_host,0.0,0.0,0.0
n_prompt,0.0,0.0,0.0
n_gen,512.0,512.0,512.0
n_depth,0.0,0.0,0.0
avg_ns,138279466891.0,99799596288.0,79476827037.0
stddev_ns,4135861862.0,651895156.0,629741158.0
avg_ts,3.70315,5.130458,6.442456
stddev_ts,0.048117,0.033806,0.051568
samples,691.0,495.0,397.0
local_pct,27.088277858176557,31.13737373737374,86.14357682619648
local_pct_skt0,31.27206946454414,29.953535353535354,95.52896725440806
local_pct_skt1,31.908827785817657,30.044444444444444,98.0
local_pct_skt2,41.54413892908828,34.05656565656566,67.08312342569269
local_pct_skt3,27.062228654124457,33.24493927125506,99.0
ipc,0.1229811866859624,0.1321010101010101,0.14073047858942073
inst,32528.338538350217,35172.58719191919,36778.47360201511
inst_skt0,5536.430159189581,10693.09294949495,9349.046070528968
inst_skt1,5749.279044862518,7590.0308888888885,9272.93322418136
inst_skt2,5799.863849493488,8440.491131313132,8771.135188916876
inst_skt3,15442.765528219972,8448.997388663967,9385.35944584383
cpu_balance,0.3585128679880788,0.709806874843202,0.934555063077637
l3hit,0.6790303907380607,0.6699797979797981,0.6752896725440807
l2miss,30.246700434153404,45.84268686868687,51.89984886649874
l3miss,8.164703328509406,12.717131313131313,13.85148614609572
l3mpi,0.0002852387843704776,0.0003933333333333335,0.00039924433249370286
upi_in_gb,26.91763476845152,35.744433574021464,10.185236072300063
upi_out_gb,71.14807169184154,91.8341748342803,33.255364599732374
upi_out_pct,25.64085865894839,33.2199730094467,11.668771043771043
upi_in_pct,9.38699951760733,12.649460188933874,3.20981646863259
mem_bw_gb,41.87907642060871,54.01641070168122,64.50542541348601
mem_read_gb,37.91332836808068,48.883215677938914,58.297023894720105
mem_write_gb,3.9657482221192115,5.133195144058008,6.208401319974555
mem_read_gb_skt0,0.2353649036722142,17.297659932120904,13.311061949754123
mem_read_gb_skt1,0.3627063217935962,13.908221375512296,12.905050612706217
mem_read_gb_skt2,0.08452856480643994,9.029845033367558,19.374426710599558
mem_read_gb_skt3,37.23072870500181,8.64697660661576,12.705733341284986
mem_write_gb_skt0,0.164757965132055,0.31293795226050203,0.22665569479695433
mem_write_gb_skt1,0.13895137538440666,4.719610255507172,0.14965726126269036
mem_write_gb_skt2,0.06190812680897251,0.040351442184291576,5.810924677958015
mem_write_gb_skt3,3.6001307689263755,0.060358480653234084,0.0210955391221374
warmup_s,0.0,0.0,0.0
